IncomeBracket,Household Counts,Income,IncomeMax
1,3784.00,"Under $5,000",5000
2,2702.00,"$5,000 to $9,999",10000
3,5141.00,"$10,000 to $14,999",15000
4,5171.00,"$15,000 to $19,999",20000
5,5066.00,"$20,000 to $24,999",25000
6,5247.00,"$25,000 to $29,999",30000
7,5457.00,"$30,000 to $34,999",35000
8,4702.00,"$35,000 to $39,999",40000
9,5377.00,"$40,000 to $44,999",45000
10,4972.00,"$45,000 to $49,999",50000
11,4885.00,"$50,000 to $54,999",55000
12,4364.00,"$55,000 to $59,999",60000
13,4531.00,"$60,000 to $64,999",65000
14,3655.00,"$65,000 to $69,999",70000
15,3807.00,"$70,000 to $74,999",75000
16,3549.00,"$75,000 to $79,999",80000
17,3402.00,"$80,000 to $84,999",85000
18,3013.00,"$85,000 to $89,999",90000
19,3023.00,"$90,000 to $94,999",95000
20,2817.00,"$95,000 to $99,999",100000
21,2852.00,"$100,000 to $104,999",105000
22,2491.00,"$105,000 to $109,999",110000
23,2413.00,"$110,000 to $114,999",115000
24,1965.00,"$115,000 to $119,999",120000
25,2393.00,"$120,000 to $124,999",125000
26,1785.00,"$125,000 to $129,999",130000
27,1778.00,"$130,000 to $134,999",135000
28,1582.00,"$135,000 to $139,999",140000
29,1400.00,"$140,000 to $144,999",145000
30,1311.00,"$145,000 to $149,999",150000
31,1721.00,"$150,000 to $154,999",155000
32,1208.00,"$155,000 to $159,999",160000
33,1260.00,"$160,000 to $164,999",165000
34,1008.00,"$165,000 to $169,999",170000
35,1251.00,"$170,000 to $174,999",175000
36,997.00,"$175,000 to $179,999",180000
37,908.00,"$180,000 to $184,999",185000
38,820.00,"$185,000 to $189,999",190000
39,828.00,"$190,000 to $194,999",195000
40,647.00,"$195,000 to $199,999",200000
41,5354.00,"$200,000 to $249,999",250000
42,7816.00,"$250,000 and over",210000
